#,"Speaker 
 ID",Mic,"Noise
 Level",Gender,Age,Dialect/City,Education,"Average 
 Sent. Len 
 (Sec)","Total Len
 (Min:Sec)"
1,1,USB-Andrea,Low,Male,35,Sorani/Seqiz,PhD,6.3,7:37
2,2,Philips SpeechMic,Low,Female,35,Sorani/Sine,PhD,4.5,5:25
3,3,USB-Andrea,Low,Male,37,Sorani/Seqiz,Diploma,4.6,5:33
4,4,USB-Andrea,Low,Female,33,Sorani/Sine,M.Sc.,5.6,6:42
5,5,USB,Low,Female,25,Hawrami/Lihon,M.Sc.,4.8,5:43
6,6,USB,Low,Female,20,Sorani/Meriwan,BA,3.5,4:13
7,7,Jack,Low,Female,19,Sorani/Pawe,BA,3.7,4:27
8,8,Jack,Low,Female,19,Sorani/Sine,BA,3.6,4:19
9,9,Jack,Low,Female,20,Sorani/Seqiz,BA,3.6,4:19
10,10,USB,Low,Male,26,Sorani/Bane,M.Sc.,3.9,4:39
11,11,Jack,Mid,Male,28,Sorani/Bane,Diploma,3.6,4:17
12,12,Jack,Low,Female,16,Sorani/Bane,Inter,4.1,4:54
13,13,Jack,Low,Female,24,Sorani/Bane,Elementary,3.7,4:29
14,14,Jack,Medium,Male,26,Sorani/Bane,M.Sc.,4.6,5:28
15,15,Jack,Medium,Male,35,Sorani/Bane,Diploma,3.9,4:40
16,16,Jack,Low,Male,22,Sorani/Bane,Diploma,3.7,4:23
17,17,Jack,Low,Male,42,Sorani/Bane,Elementary,3.7,4:29
18,18,Jack,Low,Male,56,Sorani/Bane,Elementary,5.1,6:06
19,19,Jack,Low,Male,25,Sorani/Bane,Diploma,4.4,5:17
20,20,USB,Medium,Male,24,Sorani/Piranshar,M.Sc.,4.8,5:47
21,21,USB,Low,Male,25,Sorani/Meriwan,M.Sc.,4.7,5:37
22,22,USB,Low,Male,23,Sorani/Bokan,M.Sc.,4.3,5:09
23,23,Jack,Low,Male,29,Sorani/Bane,Elementary,3.3,3:54
24,24,Jack,,Male,35,Sorani/Bane,Diploma,3.8,4:31
25,25,USB,Low,Female,28,Sorani/Seqiz,B.Sc.,5,6:02
26,26,USB,Low,Female,26,Sorani/Seqiz,B.Sc.,4.7,5:36
27,28,Jack,Low,Male,27,Sorani/Bane,BS,4.1,4:55
28,29,Jack,Medium,Female,28,Sorani/Bane,BA,4.2,5:01
29,30,Jack,Medium,Female,28,Sorani/Bane,PhD St.,4.1,4:52
30,31,Jack,Low,Female,20,Sorani/Seqiz,BA,3.8,4:32
31,32,Jack,Low,Male,28,Sorani/Bane,M.Sc.,3.9,4:38
32,33,Jack,Low,Female,27,Sorani/Bane,BA,4,4:46
33,34,USB,Low,Male,36,Kalhori/Bedre,M.Sc.,3.8,4:33
34,35,Laptop,Low,Male,30,Sorani/Diwandere,B.Sc.,4.8,5:45
35,37,Jack,Low,Male,24,Sorani/Seqiz,MS,4.2,5:03
36,38,Jack,Low,Female,23,Sorani/Pawe,BS,4.1,4:56
37,39,USB,Low,Male,30,Sorani/Meriwan,MS,3.8,4:31
38,101,Jack,Low,Male,25,Sorani/Piranshar,M.Sc.,3.3,3:56
39,105,Jack,Low,Male,50,Sorani/Bane,M.Sc.,5.8,6:59
40,112,Jack,Low,Female,23,Sorani/Bane,Diploma,4,4:47
41,113,Jack,Medium,Female,54,Sorani/Bane,Diploma,4.8,5:46
42,115,Laptop,Low,Female,33,Sorani/Diwandere,B.Sc.,4.4,5:18
43,116,Laptop,Low,Female,27,Sorani/Diwandere,B.Sc.,4,4:51
44,117,Laptop,Low,Female,13,Sorani/Diwandere,Elementary,3.7,4:27
45,119,Laptop,Low,Male,25,Sorani/Shino,B.Sc.,4.1,4:58
